Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
2,P2 9,24,25,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 10,2,3,07/22/22,,5,C,2,07.08.2022,M,,
2,P2 11,23,25,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 12,13,15,07/22/22,,5,E-,2,07.08.2022,M,,
2,P2 13,22,25,07/22/22,,5,C,2,07.08.2022,M,,
2,P2 14,13,15,07/22/22,,5,,2,07.08.2022,M,,
2,P2 15,0,2,07/22/22,,5,E+,2,07.08.2022,M,,
3,P3 1,1,2,07/22/22,,5,C,2,07.08.2022,M,,
3,P3 2,13,15,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 3,22,25,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 4,2,3,07/22/22,,5,C,2,07.08.2022,M,,
3,P3 5,0,2,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 6,1,3,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 7,9,10,07/22/22,,5,C,2,07.08.2022,M,,
3,P3 8,,2,07/22/22,07/13/22,5,,2,07.08.2022,M,,
3,P3 9,23,25,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 10,2,3,07/22/22,,5,C,2,07.08.2022,M,,
3,P3 11,22,25,07/22/22,,5,E+,2,07.08.2022,M,,
3,P3 12,14,15,07/22/22,,5,E-,2,07.08.2022,M,,
3,P3 13,23,25,07/22/22,,5,C,2,07.08.2022,M,,
3,P3 14,,15,07/22/22,07/13/22,5,,2,07.08.2022,M,,
3,P3 15,1,2,07/22/22,,5,E+,2,07.08.2022,M,,
1,P1 1,13,15,07/25/22,,6,C,2,07.08.2022,M,,
1,P1 2,0,2,07/25/22,,6,E+,2,07.08.2022,M,,
1,P1 3,,10,07/25/22,07/15/22,6,,2,07.08.2022,M,,
1,P1 4,1,2,07/25/22,,6,C,2,07.08.2022,M,,
1,P1 5,9,10,07/25/22,,6,E+,2,07.08.2022,M,,
1,P1 6,23,25,07/25/22,,6,E-,2,07.08.2022,M,,
1,P1 7,1,3,07/25/22,,6,C,2,07.08.2022,M,,
1,P1 8,14,15,07/25/22,,6,E-,2,07.08.2022,M,,
1,P1 9,14,15,07/25/22,,6,E+,2,07.08.2022,M,,
1,P1 10,0,2,07/25/22,,6,C,2,07.08.2022,M,,
1,P1 11,8,10,07/25/22,,6,E-,2,07.08.2022,M,,
1,P1 12,0,2,07/25/22,,6,E-,2,07.08.2022,M,,
1,P1 13,1,3,07/25/22,,6,C,2,07.08.2022,M,,
1,P1 14,2,5,07/25/22,,6,E+,2,07.08.2022,M,,
1,P1 15,22,25,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 1,14,15,07/25/22,,6,C,2,07.08.2022,M,,
2,P2 2,1,2,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 3,8,10,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 4,,2,07/25/22,07/18/22,6,C,2,07.08.2022,M,,
2,P2 5,8,10,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 6,22,25,07/25/22,,6,E+,2,07.08.2022,M,,
2,P2 7,2,3,07/25/22,,6,C,2,07.08.2022,M,,
2,P2 8,12,15,07/25/22,,6,E+,2,07.08.2022,M,,
2,P2 9,13,15,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 10,0,2,07/25/22,,6,C,2,07.08.2022,M,,
2,P2 11,8,10,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 12,0,2,07/25/22,,6,E-,2,07.08.2022,M,,
2,P2 13,1,3,07/25/22,,6,C,2,07.08.2022,M,,
2,P2 14,,5,07/25/22,07/25/22,6,,2,07.08.2022,M,,
2,P2 15,22,25,07/25/22,,6,E+,2,07.08.2022,M,,
3,P3 1,12,15,07/25/22,,6,C,2,07.08.2022,M,,
3,P3 2,1,2,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 3,8,10,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 4,0,2,07/25/22,,6,C,2,07.08.2022,M,,
3,P3 5,9,10,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 6,22,25,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 7,2,3,07/25/22,,6,C,2,07.08.2022,M,,
3,P3 8,,15,07/25/22,07/13/22,6,,2,07.08.2022,M,,
3,P3 9,12,15,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 10,1,2,07/25/22,,6,C,2,07.08.2022,M,,
3,P3 11,8,10,07/25/22,,6,E+,2,07.08.2022,M,,
3,P3 12,0,2,07/25/22,,6,E-,2,07.08.2022,M,,
3,P3 13,2,3,07/25/22,,6,C,2,07.08.2022,M,,
3,P3 14,,5,07/25/22,07/13/22,6,,2,07.08.2022,M,,
3,P3 15,22,25,07/25/22,,6,E+,2,07.08.2022,M,,
1,P1 1,15,25,07/24/22,,1,C,4,07/17/22,F,,
1,P1 2,3,10,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 3,0,3,07/24/22,,1,E-,4,07/17/22,F,,
